Unnamed: 0,protocol,IP,hash ID,Time,F_Pck,B_Pck,F_P_L1,F_P_L2,F_P_L3,F_P_L4,B_P_L1,B_P_L2,B_P_L3,B_P_L4,F_Hash_IPT,B_Hash_IPT,F_P_L_A,B_P_L_A,F_IA_T_M,F_IA_T_S,A_M,I_M,F_TCP_S_C,B_TCP_S_C,Label_T,Label_AB,Label_Multi_A,Prelabel_T,Prelabel_AB,Prelabel_Multi_A
609,6,10.1.1.4,3743576265,10.382418,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,90660.931,0.0,52220695.98,0,0,0,1,4,0,1,4
617,6,10.1.1.2,2550164764,10.485235,0,100,0,0,0,0,0,0,100,0,16,15,0,512,0.0,137870.079,0.0,70589480.31,0,0,0,1,2,0,1,2
624,6,10.1.1.2,2550164764,10.610345,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,204619.69,0.0,104765281.4,0,0,0,1,2,0,1,2
626,6,10.1.1.8,3884774358,10.65735,0,100,0,0,0,0,0,0,94,6,16,16,0,629,0.0,22273.867,0.0,14027190.42,0,0,0,1,8,0,1,8
629,6,10.1.1.3,159023198,10.676167,0,100,0,0,0,0,0,0,0,100,16,16,0,1506,0.0,15497.532,0.0,23347961.13,0,0,0,1,3,0,1,3
630,6,10.1.1.4,3743576265,10.676479,0,100,0,0,0,0,0,0,100,0,16,15,0,576,0.0,87056.713,0.0,50144666.5,0,0,0,1,4,0,1,4
635,6,10.1.1.9,3428079016,10.761793,0,100,0,0,0,0,0,0,0,100,16,16,0,1523,0.0,7632.575,0.0,11625937.7,0,0,0,1,9,0,1,9
639,6,10.1.1.2,2550164764,10.789723,0,100,0,0,0,0,0,0,100,0,16,16,0,506,0.0,142715.547,0.0,72248318.43,0,0,0,1,2,0,1,2
649,6,10.1.1.4,3743576265,10.960024,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,90285.487,0.0,52004440.58,0,0,0,1,4,0,1,4
650,6,10.1.1.2,2550164764,10.993975,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0.0,125335.367,0.0,63931064.1,0,0,0,1,2,0,1,2
652,6,10.1.1.7,1673646831,11.004906,0,100,0,0,0,0,0,0,100,0,16,16,0,259,0.0,13403.5,0.0,3474187.324,0,0,0,1,7,0,1,7
660,6,10.1.1.2,2550164764,11.14758,0,100,0,0,0,0,0,1,99,0,16,16,0,505,0.0,166661.0,0.0,84263801.53,0,0,0,1,2,0,1,2
667,6,10.1.1.4,3743576265,11.24497,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,89841.595,0.0,51748758.79,0,0,0,1,4,0,1,4
669,6,10.1.1.2,2550164764,11.257129,0,100,0,0,0,0,0,0,100,0,16,15,0,512,0.0,233685.794,0.0,119647126.6,0,0,0,1,2,0,1,2
680,6,10.1.1.2,2550164764,11.386669,0,100,0,0,0,0,0,0,100,0,16,16,0,512,0.0,197622.407,0.0,101182672.4,0,0,0,1,2,0,1,2
682,6,10.1.1.1,595229600,11.394253,0,100,0,0,0,0,0,1,7,92,16,16,0,1438,0.0,14868.412,0.0,21391481.19,0,0,0,1,1,0,1,1
692,6,10.1.1.2,2550164764,11.509981,0,100,0,0,0,0,0,1,99,0,15,16,0,508,0.0,207603.483,0.0,105495786.1,0,0,0,1,2,0,1,2
699,6,10.1.1.4,3743576265,11.594113,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,73322.386,0.0,42233694.52,0,0,0,1,4,0,1,4
701,6,10.1.1.2,2550164764,11.638737,0,100,0,0,0,0,0,0,100,0,16,16,0,506,0.0,198825.614,0.0,100653479.0,0,0,0,1,2,0,1,2
708,6,10.1.1.8,3884774358,11.741506,0,100,0,0,0,0,0,0,94,6,16,16,0,582,0.0,23612.837,0.0,13752116.39,0,0,0,1,8,0,1,8
709,6,10.1.1.6,2126477730,11.764041,0,100,0,0,0,0,0,0,100,0,16,16,0,415,0.0,16568.786,0.0,6882010.891,0,0,0,1,6,0,1,6
711,6,10.1.1.2,2550164764,11.776882,0,100,0,0,0,0,0,0,100,0,16,16,0,507,0.0,185312.574,0.0,94049837.69,0,0,0,1,2,0,1,2
717,6,10.1.1.4,3743576265,11.899532,0,100,0,0,0,0,0,0,100,0,16,16,0,576,0.0,83819.287,0.0,48279909.03,0,0,0,1,4,0,1,4
720,6,10.1.1.2,2550164764,11.962906,0,100,0,0,0,0,0,0,100,0,16,16,0,510,0.0,137616.512,0.0,70195430.34,0,0,0,1,2,0,1,2
